Region,cluster_label,urbanisation_degree,education_level,age_class,sex,commute_bin,percentage
Lithuania,Low-HO,Rural areas,All ISCED 2011 levels,35-49,male,percentage_60,10.65
Sweden,High-HO,Towns and suburbs,ISCED 3–4,15-34,male,percentage_60,0.00
Romania,Low-HO,Towns and suburbs,ISCED 3–4,15-34,female,percentage_60,0.00
Sweden,High-HO,Total,All ISCED 2011 levels,15-34,male,percentage_60,10.71
Latvia,Low-HO,Total,ISCED 5–8,15-34,female,percentage_60,8.26
Romania,Low-HO,Cities,ISCED 3–4,35-49,male,percentage_60,4.58
Luxembourg,High-HO,Total,All ISCED 2011 levels,35-49,female,percentage_60,9.38
Netherlands,High-HO,Total,ISCED 5–8,35-49,female,percentage_60,9.68
Poland,Mid-HO,Rural areas,ISCED 5–8,50-74,female,percentage_60,8.72
Finland,High-HO,Rural areas,ISCED 5–8,35-49,male,percentage_60,0.00
Austria,Mid-HO,Total,ISCED 3–4,50-74,female,percentage_60,5.95
Poland,Mid-HO,Towns and suburbs,All ISCED 2011 levels,15-34,male,percentage_60,18.90
Belgium,High-HO,Towns and suburbs,ISCED 3–4,50-74,female,percentage_60,8.11
Spain,Low-HO,Towns and suburbs,ISCED 5–8,50-74,male,percentage_60,6.13
Croatia,Low-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_60,4.48
Bulgaria,Low-HO,Total,All ISCED 2011 levels,35-49,female,percentage_60,6.45
Romania,Low-HO,Cities,ISCED 5–8,50-74,female,percentage_60,0.00
Romania,Low-HO,Rural areas,ISCED 0–2,15-34,female,percentage_60,0.00
Belgium,High-HO,Total,ISCED 3–4,35-49,female,percentage_60,5.88
Croatia,Low-HO,Cities,ISCED 3–4,35-49,male,percentage_60,0.00
Czechia,Low-HO,Towns and suburbs,ISCED 3–4,50-74,male,percentage_60,8.29
Croatia,Low-HO,Total,ISCED 5–8,35-49,male,percentage_60,10.48
Belgium,High-HO,Towns and suburbs,All ISCED 2011 levels,35-49,male,percentage_60,26.26
Hungary,Low-HO,Total,ISCED 5–8,15-34,male,percentage_60,13.53
Bulgaria,Low-HO,Total,ISCED 0–2,50-74,female,percentage_60,0.00
Bulgaria,Low-HO,Total,ISCED 5–8,35-49,male,percentage_60,0.54
Belgium,High-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_60,1.07
Romania,Low-HO,Cities,ISCED 3–4,15-34,male,percentage_60,0.00
Ireland,Mid-HO,Total,ISCED 0–2,50-74,male,percentage_60,14.87
Portugal,Mid-HO,Total,ISCED 0–2,35-49,female,percentage_60,12.90
Germany,Mid-HO,Rural areas,All ISCED 2011 levels,35-49,female,percentage_60,4.54
Portugal,Mid-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_60,0.00
Ireland,Mid-HO,Cities,ISCED 5–8,15-34,female,percentage_60,13.17
Portugal,Mid-HO,Cities,ISCED 5–8,35-49,female,percentage_60,0.92
Belgium,High-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_60,11.49
Czechia,Low-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_60,6.22
Portugal,Mid-HO,Cities,ISCED 0–2,50-74,female,percentage_60,12.05
Italy,Low-HO,Rural areas,ISCED 0–2,50-74,male,percentage_60,0.62
Sweden,High-HO,Towns and suburbs,All ISCED 2011 levels,50-74,female,percentage_60,7.46
Denmark,High-HO,Total,ISCED 0–2,15-34,female,percentage_60,6.50
Netherlands,High-HO,Total,ISCED 5–8,35-49,male,percentage_60,23.65
Netherlands,High-HO,Cities,ISCED 5–8,15-34,female,percentage_60,1.62
Sweden,High-HO,Total,ISCED 3–4,50-74,female,percentage_60,0.00
Belgium,High-HO,Rural areas,All ISCED 2011 levels,35-49,male,percentage_60,14.08
Slovenia,Mid-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_60,1.11
Czechia,Low-HO,Towns and suburbs,All ISCED 2011 levels,35-49,female,percentage_60,6.95
Hungary,Low-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_60,13.77
Ireland,Mid-HO,Towns and suburbs,ISCED 5–8,15-34,male,percentage_60,16.99
Sweden,High-HO,Total,All ISCED 2011 levels,50-74,female,percentage_60,6.74
Croatia,Low-HO,Towns and suburbs,All ISCED 2011 levels,35-49,female,percentage_60,8.43
Belgium,High-HO,Total,ISCED 5–8,35-49,female,percentage_60,1.51
Poland,Mid-HO,Total,ISCED 3–4,50-74,female,percentage_60,4.13
Croatia,Low-HO,Rural areas,ISCED 3–4,35-49,male,percentage_60,12.11
Belgium,High-HO,Towns and suburbs,ISCED 3–4,15-34,female,percentage_60,6.89
Austria,Mid-HO,Cities,ISCED 5–8,35-49,female,percentage_60,6.05
Austria,Mid-HO,Total,ISCED 5–8,35-49,male,percentage_60,10.53
Lithuania,Low-HO,Total,All ISCED 2011 levels,50-74,male,percentage_60,7.09
Austria,Mid-HO,Towns and suburbs,ISCED 3–4,15-34,male,percentage_60,4.61
Finland,High-HO,Towns and suburbs,All ISCED 2011 levels,15-34,female,percentage_60,0.00
Slovakia,Low-HO,Towns and suburbs,ISCED 3–4,50-74,male,percentage_60,0.00
Finland,High-HO,Total,All ISCED 2011 levels,15-34,female,percentage_60,4.14
Germany,Mid-HO,Total,ISCED 3–4,50-74,male,percentage_60,10.41
Lithuania,Low-HO,Total,ISCED 3–4,35-49,female,percentage_60,0.00
Netherlands,High-HO,Total,ISCED 0–2,15-34,male,percentage_60,0.56
Estonia,Mid-HO,Total,ISCED 3–4,50-74,male,percentage_60,11.97
Denmark,High-HO,Total,ISCED 3–4,50-74,male,percentage_60,1.16
Spain,Low-HO,Towns and suburbs,ISCED 3–4,50-74,male,percentage_60,9.11
Czechia,Low-HO,Cities,ISCED 3–4,15-34,male,percentage_60,1.05
Belgium,High-HO,Rural areas,ISCED 3–4,15-34,male,percentage_60,10.13
Spain,Low-HO,Rural areas,ISCED 3–4,15-34,female,percentage_60,0.00
Türkiye,Low-HO,Total,ISCED 3–4,35-49,male,percentage_60,12.02
Czechia,Low-HO,Towns and suburbs,ISCED 5–8,15-34,female,percentage_60,8.45
Greece,Low-HO,Total,All ISCED 2011 levels,15-34,female,percentage_60,4.76
Czechia,Low-HO,Total,ISCED 0–2,35-49,male,percentage_60,0.00
Czechia,Low-HO,Total,All ISCED 2011 levels,35-49,female,percentage_60,5.33
Netherlands,High-HO,Rural areas,ISCED 0–2,15-34,male,percentage_60,0.00
Hungary,Low-HO,Total,All ISCED 2011 levels,35-49,male,percentage_60,12.15
Poland,Mid-HO,Rural areas,ISCED 3–4,15-34,male,percentage_60,7.76
Hungary,Low-HO,Total,All ISCED 2011 levels,50-74,female,percentage_60,1.61
Sweden,High-HO,Towns and suburbs,All ISCED 2011 levels,50-74,male,percentage_60,20.57
Ireland,Mid-HO,Cities,All ISCED 2011 levels,35-49,male,percentage_60,12.74
Denmark,High-HO,Towns and suburbs,ISCED 5–8,35-49,female,percentage_60,7.49
Czechia,Low-HO,Cities,ISCED 5–8,35-49,female,percentage_60,4.72
Romania,Low-HO,Towns and suburbs,ISCED 3–4,15-34,male,percentage_60,6.01
Finland,High-HO,Rural areas,All ISCED 2011 levels,35-49,female,percentage_60,3.54
Greece,Low-HO,Total,All ISCED 2011 levels,15-34,male,percentage_60,0.20
Netherlands,High-HO,Cities,ISCED 5–8,35-49,female,percentage_60,11.54
Latvia,Low-HO,Total,ISCED 3–4,15-34,female,percentage_60,11.90
Spain,Low-HO,Total,ISCED 0–2,35-49,female,percentage_60,6.63
Croatia,Low-HO,Rural areas,All ISCED 2011 levels,35-49,male,percentage_60,12.39
Slovakia,Low-HO,Rural areas,All ISCED 2011 levels,50-74,female,percentage_60,4.21
Hungary,Low-HO,Total,ISCED 5–8,35-49,male,percentage_60,14.55
Germany,Mid-HO,Towns and suburbs,ISCED 3–4,35-49,male,percentage_60,8.55
Latvia,Low-HO,Total,ISCED 3–4,50-74,female,percentage_60,1.93
Türkiye,Low-HO,No response,ISCED 3–4,50-74,male,percentage_60,5.50
Italy,Low-HO,Total,ISCED 5–8,50-74,male,percentage_60,15.03
Croatia,Low-HO,Total,All ISCED 2011 levels,35-49,female,percentage_60,4.41
Türkiye,Low-HO,No response,ISCED 3–4,50-74,female,percentage_60,9.61
Portugal,Mid-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_60,1.23
Austria,Mid-HO,Cities,ISCED 5–8,15-34,male,percentage_60,0.00
Ireland,Mid-HO,Total,ISCED 0–2,35-49,male,percentage_60,9.88
Croatia,Low-HO,Towns and suburbs,ISCED 3–4,35-49,male,percentage_60,0.00
Germany,Mid-HO,Towns and suburbs,All ISCED 2011 levels,50-74,female,percentage_60,5.51
Spain,Low-HO,Total,ISCED 0–2,50-74,female,percentage_60,0.93
Bulgaria,Low-HO,Towns and suburbs,All ISCED 2011 levels,50-74,male,percentage_60,3.58
Bulgaria,Low-HO,Total,All ISCED 2011 levels,50-74,female,percentage_60,4.37
Finland,High-HO,Towns and suburbs,ISCED 5–8,35-49,male,percentage_60,9.74
Hungary,Low-HO,Total,ISCED 0–2,35-49,female,percentage_60,9.31
Italy,Low-HO,Towns and suburbs,ISCED 3–4,15-34,female,percentage_60,5.54
Italy,Low-HO,Towns and suburbs,ISCED 5–8,15-34,female,percentage_60,1.30
Austria,Mid-HO,Total,All ISCED 2011 levels,15-34,male,percentage_60,7.81
Greece,Low-HO,Cities,ISCED 5–8,50-74,male,percentage_60,5.08
Finland,High-HO,Total,All ISCED 2011 levels,15-34,male,percentage_60,0.56
Romania,Low-HO,Rural areas,ISCED 3–4,15-34,male,percentage_60,11.22
Spain,Low-HO,Cities,ISCED 0–2,50-74,male,percentage_60,12.65
Cyprus,Low-HO,Total,All ISCED 2011 levels,15-34,female,percentage_60,0.00
Greece,Low-HO,Total,All ISCED 2011 levels,35-49,female,percentage_60,3.52
Finland,High-HO,Cities,ISCED 3–4,50-74,male,percentage_60,0.00
Sweden,High-HO,Total,ISCED 3–4,15-34,female,percentage_60,13.16
Germany,Mid-HO,Towns and suburbs,All ISCED 2011 levels,15-34,male,percentage_60,12.83
Lithuania,Low-HO,Total,ISCED 5–8,50-74,male,percentage_60,0.00
Sweden,High-HO,Towns and suburbs,ISCED 3–4,50-74,male,percentage_60,19.12
Portugal,Mid-HO,Towns and suburbs,All ISCED 2011 levels,50-74,male,percentage_60,4.18
Portugal,Mid-HO,Towns and suburbs,ISCED 0–2,50-74,female,percentage_60,0.00
Italy,Low-HO,Cities,ISCED 3–4,15-34,male,percentage_60,7.36
Greece,Low-HO,Total,ISCED 0–2,35-49,female,percentage_60,0.00
Poland,Mid-HO,Total,All ISCED 2011 levels,50-74,male,percentage_60,7.22
Slovakia,Low-HO,Total,ISCED 5–8,35-49,male,percentage_60,12.82
Netherlands,High-HO,Towns and suburbs,ISCED 5–8,50-74,female,percentage_60,7.69
Romania,Low-HO,Cities,ISCED 5–8,15-34,male,percentage_60,15.50
Latvia,Low-HO,Cities,All ISCED 2011 levels,50-74,female,percentage_60,17.68
Croatia,Low-HO,Total,All ISCED 2011 levels,15-34,female,percentage_60,8.81
Netherlands,High-HO,Cities,ISCED 0–2,35-49,male,percentage_60,0.94
Netherlands,High-HO,Towns and suburbs,ISCED 3–4,35-49,female,percentage_60,0.00
Cyprus,Low-HO,Total,ISCED 3–4,50-74,male,percentage_60,0.00
Germany,Mid-HO,Cities,All ISCED 2011 levels,15-34,female,percentage_60,9.12
Italy,Low-HO,Towns and suburbs,ISCED 3–4,15-34,male,percentage_60,5.46
Croatia,Low-HO,Total,All ISCED 2011 levels,50-74,male,percentage_60,9.78
Spain,Low-HO,Total,ISCED 3–4,35-49,female,percentage_60,7.52
Italy,Low-HO,Cities,All ISCED 2011 levels,50-74,female,percentage_60,7.84
Czechia,Low-HO,Towns and suburbs,ISCED 5–8,35-49,male,percentage_60,21.00
Germany,Mid-HO,Total,ISCED 0–2,50-74,male,percentage_60,0.00
Belgium,High-HO,Towns and suburbs,ISCED 0–2,15-34,male,percentage_60,9.66
Italy,Low-HO,Cities,ISCED 0–2,15-34,female,percentage_60,10.46
Bulgaria,Low-HO,Rural areas,ISCED 3–4,15-34,male,percentage_60,9.12
Austria,Mid-HO,Total,ISCED 3–4,15-34,male,percentage_60,9.02
Portugal,Mid-HO,Cities,ISCED 5–8,15-34,male,percentage_60,14.21
Austria,Mid-HO,Total,All ISCED 2011 levels,15-34,female,percentage_60,0.73
Poland,Mid-HO,Towns and suburbs,ISCED 3–4,50-74,male,percentage_60,6.83
Cyprus,Low-HO,Cities,All ISCED 2011 levels,15-34,female,percentage_60,0.00
Austria,Mid-HO,Towns and suburbs,ISCED 3–4,50-74,male,percentage_60,8.27
Italy,Low-HO,Rural areas,All ISCED 2011 levels,35-49,male,percentage_60,25.04
Spain,Low-HO,Cities,ISCED 3–4,35-49,male,percentage_60,13.15
Türkiye,Low-HO,Total,All ISCED 2011 levels,15-34,male,percentage_60,9.47
Netherlands,High-HO,Rural areas,All ISCED 2011 levels,50-74,female,percentage_60,4.92
Germany,Mid-HO,Rural areas,All ISCED 2011 levels,35-49,male,percentage_60,15.81
Romania,Low-HO,Cities,All ISCED 2011 levels,15-34,male,percentage_60,5.01
Czechia,Low-HO,Total,ISCED 3–4,35-49,male,percentage_60,16.14
Hungary,Low-HO,Cities,ISCED 5–8,50-74,female,percentage_60,11.36
Estonia,Mid-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_60,14.62
Poland,Mid-HO,Towns and suburbs,All ISCED 2011 levels,50-74,female,percentage_60,5.45
Italy,Low-HO,Cities,ISCED 0–2,35-49,female,percentage_60,8.02
Spain,Low-HO,Total,ISCED 3–4,35-49,male,percentage_60,10.68
Bulgaria,Low-HO,Cities,All ISCED 2011 levels,50-74,male,percentage_60,4.62
Slovenia,Mid-HO,Towns and suburbs,ISCED 5–8,35-49,female,percentage_60,0.00
Denmark,High-HO,Towns and suburbs,All ISCED 2011 levels,50-74,male,percentage_60,12.82
Italy,Low-HO,Rural areas,ISCED 5–8,50-74,male,percentage_60,16.19
Romania,Low-HO,Cities,All ISCED 2011 levels,50-74,female,percentage_60,0.51
Denmark,High-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_60,15.92
Germany,Mid-HO,Total,All ISCED 2011 levels,15-34,male,percentage_60,9.40
Denmark,High-HO,Cities,ISCED 5–8,50-74,female,percentage_60,0.00
Austria,Mid-HO,Towns and suburbs,ISCED 5–8,35-49,female,percentage_60,6.12
Italy,Low-HO,Rural areas,ISCED 5–8,15-34,male,percentage_60,15.68
Spain,Low-HO,Cities,All ISCED 2011 levels,15-34,male,percentage_60,14.56
Romania,Low-HO,Total,All ISCED 2011 levels,35-49,female,percentage_60,5.11
Austria,Mid-HO,Rural areas,ISCED 3–4,15-34,female,percentage_60,0.62
Portugal,Mid-HO,Rural areas,All ISCED 2011 levels,50-74,male,percentage_60,4.46
Portugal,Mid-HO,Total,ISCED 0–2,50-74,male,percentage_60,4.86
Romania,Low-HO,Rural areas,ISCED 3–4,35-49,female,percentage_60,9.32
Ireland,Mid-HO,Towns and suburbs,ISCED 3–4,35-49,male,percentage_60,19.05
Latvia,Low-HO,Cities,All ISCED 2011 levels,50-74,male,percentage_60,14.61
France,Mid-HO,Cities,ISCED 5–8,15-34,male,percentage_60,11.33
Netherlands,High-HO,Cities,ISCED 0–2,35-49,female,percentage_60,0.00
Italy,Low-HO,Cities,ISCED 5–8,35-49,male,percentage_60,1.38
Lithuania,Low-HO,Total,All ISCED 2011 levels,35-49,male,percentage_60,8.73
Greece,Low-HO,Cities,All ISCED 2011 levels,50-74,male,percentage_60,4.22
Croatia,Low-HO,Towns and suburbs,All ISCED 2011 levels,50-74,male,percentage_60,8.89
Sweden,High-HO,Total,All ISCED 2011 levels,15-34,female,percentage_60,10.41
Denmark,High-HO,Total,ISCED 5–8,50-74,female,percentage_60,1.01
Greece,Low-HO,Total,ISCED 3–4,15-34,female,percentage_60,4.12
Hungary,Low-HO,Towns and suburbs,ISCED 5–8,35-49,male,percentage_60,24.15
Finland,High-HO,Cities,ISCED 5–8,50-74,male,percentage_60,4.84
Greece,Low-HO,Total,ISCED 0–2,50-74,male,percentage_60,0.00
Austria,Mid-HO,Rural areas,ISCED 5–8,50-74,male,percentage_60,12.66
Spain,Low-HO,Rural areas,All ISCED 2011 levels,50-74,male,percentage_60,8.12
Netherlands,High-HO,Rural areas,ISCED 3–4,15-34,male,percentage_60,6.33
Denmark,High-HO,Total,ISCED 3–4,35-49,female,percentage_60,6.07
Denmark,High-HO,Towns and suburbs,All ISCED 2011 levels,50-74,female,percentage_60,6.11
Lithuania,Low-HO,Rural areas,All ISCED 2011 levels,35-49,female,percentage_60,4.33
Germany,Mid-HO,Total,ISCED 5–8,35-49,female,percentage_60,10.00
Poland,Mid-HO,Cities,All ISCED 2011 levels,15-34,female,percentage_60,0.80
Austria,Mid-HO,Towns and suburbs,All ISCED 2011 levels,15-34,male,percentage_60,6.72
Netherlands,High-HO,Towns and suburbs,ISCED 0–2,35-49,female,percentage_60,0.00
Ireland,Mid-HO,Rural areas,ISCED 5–8,35-49,female,percentage_60,12.15
Estonia,Mid-HO,Rural areas,All ISCED 2011 levels,50-74,male,percentage_60,0.00
Romania,Low-HO,Rural areas,ISCED 0–2,35-49,female,percentage_60,0.00
Poland,Mid-HO,Total,All ISCED 2011 levels,15-34,male,percentage_60,7.11
Ireland,Mid-HO,Cities,ISCED 3–4,15-34,male,percentage_60,16.16
Belgium,High-HO,Cities,ISCED 3–4,50-74,female,percentage_60,6.59
Poland,Mid-HO,Cities,All ISCED 2011 levels,35-49,male,percentage_60,8.98
Romania,Low-HO,Rural areas,ISCED 0–2,35-49,male,percentage_60,12.94
Finland,High-HO,Towns and suburbs,All ISCED 2011 levels,50-74,male,percentage_60,7.79
Latvia,Low-HO,Rural areas,All ISCED 2011 levels,35-49,female,percentage_60,13.28
Spain,Low-HO,Rural areas,ISCED 0–2,50-74,female,percentage_60,15.97
Estonia,Mid-HO,Cities,All ISCED 2011 levels,35-49,male,percentage_60,0.00
Belgium,High-HO,Cities,All ISCED 2011 levels,15-34,male,percentage_60,11.11
Czechia,Low-HO,Rural areas,ISCED 3–4,35-49,female,percentage_60,4.33
Slovenia,Mid-HO,Total,ISCED 3–4,35-49,male,percentage_60,7.74
Denmark,High-HO,Total,All ISCED 2011 levels,35-49,female,percentage_60,4.94
Romania,Low-HO,Rural areas,ISCED 5–8,35-49,male,percentage_60,0.00
Netherlands,High-HO,Towns and suburbs,All ISCED 2011 levels,35-49,female,percentage_60,5.54
Netherlands,High-HO,Rural areas,ISCED 3–4,15-34,female,percentage_60,0.00
Spain,Low-HO,Total,ISCED 0–2,15-34,male,percentage_60,7.98
Netherlands,High-HO,Total,ISCED 5–8,50-74,male,percentage_60,18.24
Bulgaria,Low-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_60,8.41
Romania,Low-HO,Towns and suburbs,ISCED 5–8,35-49,female,percentage_60,0.00
Poland,Mid-HO,Total,All ISCED 2011 levels,35-49,male,percentage_60,8.48
Finland,High-HO,Total,ISCED 5–8,35-49,female,percentage_60,7.77
Denmark,High-HO,Towns and suburbs,ISCED 3–4,15-34,male,percentage_60,17.18
Italy,Low-HO,Cities,ISCED 3–4,35-49,female,percentage_60,9.31
Ireland,Mid-HO,Total,All ISCED 2011 levels,15-34,female,percentage_60,17.01
France,Mid-HO,Rural areas,All ISCED 2011 levels,15-34,female,percentage_60,4.55
Lithuania,Low-HO,Total,All ISCED 2011 levels,50-74,female,percentage_60,3.57
Ireland,Mid-HO,Cities,ISCED 3–4,15-34,female,percentage_60,10.26
Croatia,Low-HO,Towns and suburbs,ISCED 3–4,15-34,female,percentage_60,0.00
Bulgaria,Low-HO,Cities,ISCED 3–4,35-49,male,percentage_60,7.30
Bulgaria,Low-HO,Cities,All ISCED 2011 levels,35-49,male,percentage_60,4.81
Czechia,Low-HO,Rural areas,ISCED 5–8,50-74,male,percentage_60,13.61
Czechia,Low-HO,Total,ISCED 5–8,35-49,male,percentage_60,12.27
Germany,Mid-HO,Towns and suburbs,ISCED 0–2,15-34,male,percentage_60,0.00
Poland,Mid-HO,Total,All ISCED 2011 levels,35-49,female,percentage_60,6.30
Greece,Low-HO,Total,ISCED 0–2,35-49,male,percentage_60,0.00
Spain,Low-HO,Rural areas,All ISCED 2011 levels,35-49,female,percentage_60,11.70
Finland,High-HO,Total,All ISCED 2011 levels,35-49,male,percentage_60,5.43
Austria,Mid-HO,Total,ISCED 5–8,50-74,female,percentage_60,6.10
Romania,Low-HO,Cities,ISCED 5–8,15-34,female,percentage_60,6.82
Netherlands,High-HO,Rural areas,All ISCED 2011 levels,35-49,male,percentage_60,14.20
Finland,High-HO,Cities,ISCED 3–4,35-49,female,percentage_60,0.00
Austria,Mid-HO,Rural areas,ISCED 3–4,50-74,female,percentage_60,7.66
Croatia,Low-HO,Cities,ISCED 5–8,35-49,male,percentage_60,0.00
Belgium,High-HO,Cities,All ISCED 2011 levels,50-74,male,percentage_60,11.96
France,Mid-HO,Total,ISCED 3–4,50-74,male,percentage_60,9.76
Romania,Low-HO,Rural areas,All ISCED 2011 levels,35-49,male,percentage_60,8.91
Sweden,High-HO,Cities,All ISCED 2011 levels,15-34,male,percentage_60,9.41
Italy,Low-HO,Total,ISCED 3–4,35-49,female,percentage_60,6.44
Poland,Mid-HO,Rural areas,ISCED 3–4,50-74,male,percentage_60,10.70
Bulgaria,Low-HO,Total,ISCED 5–8,50-74,male,percentage_60,4.77
Bulgaria,Low-HO,Towns and suburbs,ISCED 3–4,35-49,male,percentage_60,0.00
Finland,High-HO,Towns and suburbs,All ISCED 2011 levels,50-74,female,percentage_60,0.55
France,Mid-HO,Rural areas,ISCED 3–4,50-74,female,percentage_60,0.00
Belgium,High-HO,Cities,ISCED 0–2,35-49,male,percentage_60,11.00
Netherlands,High-HO,Towns and suburbs,All ISCED 2011 levels,35-49,male,percentage_60,16.49
Denmark,High-HO,Cities,All ISCED 2011 levels,15-34,female,percentage_60,8.22
Greece,Low-HO,Towns and suburbs,All ISCED 2011 levels,35-49,female,percentage_60,2.77
Netherlands,High-HO,Cities,All ISCED 2011 levels,50-74,female,percentage_60,10.18
Hungary,Low-HO,Total,ISCED 0–2,15-34,male,percentage_60,15.54
Netherlands,High-HO,Towns and suburbs,All ISCED 2011 levels,50-74,male,percentage_60,15.74
Denmark,High-HO,Rural areas,ISCED 0–2,15-34,male,percentage_60,12.37
Lithuania,Low-HO,Cities,ISCED 3–4,50-74,female,percentage_60,0.00
France,Mid-HO,Total,ISCED 5–8,15-34,female,percentage_60,10.08
Bulgaria,Low-HO,Cities,ISCED 5–8,50-74,male,percentage_60,0.00
Netherlands,High-HO,Cities,ISCED 3–4,35-49,male,percentage_60,11.81
Slovenia,Mid-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_60,0.00
Cyprus,Low-HO,Total,All ISCED 2011 levels,15-34,male,percentage_60,0.00
Denmark,High-HO,Rural areas,ISCED 0–2,15-34,female,percentage_60,0.00
Denmark,High-HO,Towns and suburbs,ISCED 5–8,50-74,female,percentage_60,0.00
Slovakia,Low-HO,Towns and suburbs,ISCED 5–8,35-49,male,percentage_60,14.14
Hungary,Low-HO,Towns and suburbs,ISCED 0–2,35-49,female,percentage_60,14.84
Italy,Low-HO,Cities,ISCED 5–8,50-74,female,percentage_60,7.25
Greece,Low-HO,Rural areas,ISCED 5–8,35-49,female,percentage_60,0.00
Slovakia,Low-HO,Total,ISCED 5–8,15-34,male,percentage_60,7.51
Poland,Mid-HO,Total,ISCED 5–8,35-49,female,percentage_60,7.46
Finland,High-HO,Cities,All ISCED 2011 levels,35-49,male,percentage_60,3.77
Spain,Low-HO,Rural areas,ISCED 0–2,15-34,female,percentage_60,0.00
Germany,Mid-HO,Towns and suburbs,ISCED 5–8,50-74,female,percentage_60,8.35
Belgium,High-HO,Cities,ISCED 5–8,35-49,female,percentage_60,8.30
Greece,Low-HO,Rural areas,ISCED 5–8,35-49,male,percentage_60,0.00
Belgium,High-HO,Total,All ISCED 2011 levels,15-34,male,percentage_60,11.88
Latvia,Low-HO,Cities,ISCED 5–8,35-49,female,percentage_60,18.90
Hungary,Low-HO,Rural areas,ISCED 3–4,35-49,female,percentage_60,7.10
Estonia,Mid-HO,Total,ISCED 3–4,35-49,male,percentage_60,7.00
Austria,Mid-HO,Cities,ISCED 3–4,15-34,female,percentage_60,6.89
Denmark,High-HO,Towns and suburbs,ISCED 5–8,50-74,male,percentage_60,15.51
Germany,Mid-HO,Total,ISCED 3–4,35-49,female,percentage_60,4.61
Austria,Mid-HO,Towns and suburbs,All ISCED 2011 levels,35-49,male,percentage_60,9.18
Türkiye,Low-HO,Total,ISCED 3–4,50-74,female,percentage_60,9.61
Germany,Mid-HO,Cities,ISCED 3–4,50-74,male,percentage_60,12.46
Latvia,Low-HO,Rural areas,All ISCED 2011 levels,50-74,male,percentage_60,15.98
Estonia,Mid-HO,Total,ISCED 3–4,15-34,female,percentage_60,0.00
Ireland,Mid-HO,Total,ISCED 3–4,35-49,male,percentage_60,14.29
Poland,Mid-HO,Rural areas,ISCED 3–4,15-34,female,percentage_60,5.50
Romania,Low-HO,Total,ISCED 3–4,50-74,female,percentage_60,4.50
Belgium,High-HO,Cities,ISCED 3–4,15-34,female,percentage_60,7.31
Finland,High-HO,Total,ISCED 5–8,15-34,female,percentage_60,4.22
Slovenia,Mid-HO,Towns and suburbs,All ISCED 2011 levels,15-34,male,percentage_60,0.00
Spain,Low-HO,Rural areas,All ISCED 2011 levels,50-74,female,percentage_60,7.34
Hungary,Low-HO,Towns and suburbs,All ISCED 2011 levels,35-49,male,percentage_60,14.66
France,Mid-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_60,8.50
Spain,Low-HO,Rural areas,ISCED 0–2,35-49,male,percentage_60,7.87
Hungary,Low-HO,Rural areas,All ISCED 2011 levels,35-49,male,percentage_60,11.10
France,Mid-HO,Total,ISCED 3–4,35-49,male,percentage_60,9.52
Belgium,High-HO,Towns and suburbs,All ISCED 2011 levels,15-34,female,percentage_60,0.98
Finland,High-HO,Total,ISCED 3–4,50-74,male,percentage_60,0.80
Austria,Mid-HO,Total,ISCED 3–4,35-49,male,percentage_60,9.02
Ireland,Mid-HO,Rural areas,ISCED 5–8,15-34,male,percentage_60,15.14
Finland,High-HO,Total,ISCED 0–2,50-74,female,percentage_60,0.00
Latvia,Low-HO,Total,All ISCED 2011 levels,50-74,male,percentage_60,14.12
Austria,Mid-HO,Rural areas,All ISCED 2011 levels,50-74,male,percentage_60,9.96
Netherlands,High-HO,Cities,All ISCED 2011 levels,50-74,male,percentage_60,14.10
Italy,Low-HO,Total,ISCED 0–2,15-34,male,percentage_60,0.72
Italy,Low-HO,Towns and suburbs,ISCED 3–4,50-74,male,percentage_60,9.05
Denmark,High-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_60,3.70
Spain,Low-HO,Cities,ISCED 3–4,15-34,male,percentage_60,12.05
Greece,Low-HO,Towns and suburbs,ISCED 0–2,35-49,male,percentage_60,0.00
Finland,High-HO,Total,All ISCED 2011 levels,35-49,female,percentage_60,4.58
France,Mid-HO,Total,All ISCED 2011 levels,15-34,male,percentage_60,9.54
Poland,Mid-HO,Rural areas,ISCED 0–2,50-74,female,percentage_60,0.00
Austria,Mid-HO,Rural areas,ISCED 3–4,50-74,male,percentage_60,9.20
Netherlands,High-HO,Cities,ISCED 0–2,15-34,female,percentage_60,4.11
Lithuania,Low-HO,Rural areas,ISCED 3–4,50-74,male,percentage_60,7.43
Ireland,Mid-HO,Rural areas,ISCED 3–4,35-49,male,percentage_60,13.70
Finland,High-HO,Cities,ISCED 5–8,50-74,female,percentage_60,5.84
