Region,0,1-9,10-14,15-19,20-29,30-44,45-59,60+,No_response,sheet_name,education_level,urbanisation_degree,age_class,sex
European_Union_29_countries_from_2013-2020,1768.0,1382.0,13586.0,10801.0,1246.0,12603.0,3308.0,5487.0,5113.0,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Euro_area_19_countries_2015-2022,1064.0,11732.0,11553.0,8929.0,9708.0,9409.0,2481.0,4073.0,4132.0,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Belgium,176.0,243.0,332.0,323.0,49.0,443.0,143.0,204.0,,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Bulgaria,,,79.0,82.0,149.0,95.0,,,,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Czechia,,,67.0,68.0,103.0,86.0,,,,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Denmark,41.0,96.0,89.0,68.0,114.0,119.0,5.0,66.0,41.0,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Germany,,1436.0,1684.0,1415.0,1784.0,1682.0,,634.0,121.0,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Estonia,,,,,,,,,,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Ireland,,46.0,,,41.0,41.0,,,46.0,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Greece,,141.0,232.0,213.0,182.0,13.0,38.0,,144.0,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Spain,237.0,2877.0,2649.0,2022.0,2067.0,2061.0,594.0,114.0,1216.0,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
France,,641.0,714.0,686.0,726.0,966.0,,,,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Croatia,,,,,45.0,49.0,,,,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Italy,155.0,4544.0,4504.0,2981.0,3213.0,2823.0,498.0,1248.0,85.0,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Cyprus,,,,,4.0,,,,,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Latvia,,,,,,36.0,,,,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Lithuania,,,,,,,,,,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Luxembourg,,,,,,,,,,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Hungary,37.0,48.0,124.0,125.0,163.0,215.0,,108.0,42.0,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Malta,,,,49.0,55.0,67.0,,,,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Netherlands,138.0,42.0,303.0,333.0,378.0,378.0,179.0,172.0,109.0,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Austria,,162.0,125.0,111.0,9.0,127.0,,,,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Poland,,94.0,171.0,228.0,215.0,283.0,,8.0,143.0,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Portugal,11.0,986.0,78.0,574.0,469.0,454.0,,139.0,339.0,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Romania,126.0,252.0,148.0,158.0,282.0,421.0,158.0,95.0,344.0,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Slovenia,,,,,,44.0,,,,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Slovakia,,,42.0,45.0,41.0,,,,,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Finland,,91.0,44.0,59.0,54.0,53.0,,,,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Sweden,,,,,,265.0,,,,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Iceland,,,,,,,,,,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Norway,,95.0,101.0,73.0,89.0,102.0,,83.0,,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Switzerland,,19.0,114.0,192.0,139.0,151.0,111.0,86.0,,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
United Kingdom,39.0,1415.0,1213.0,972.0,1524.0,1662.0,551.0,949.0,363.0,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
Türkiye,,,,,,,,,,Sheet 58,ISCED 0–2,Towns and suburbs,20-64,Male
European_Union_27_countries_from_2020,,4928.0,4839.0,3899.0,4233.0,4459.0,1088.0,2014.0,183.0,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
European_Union_29_countries_from_2013-2020,541.0,5416.0,5138.0,4296.0,4667.0,5026.0,1285.0,2389.0,198.0,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Euro_area_19_countries_2015-2022,,4745.0,4539.0,3529.0,3795.0,3782.0,97.0,1787.0,1614.0,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Belgium,36.0,65.0,103.0,12.0,161.0,139.0,75.0,99.0,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Bulgaria,,,,,,54.0,,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Czechia,,,,,,,,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Denmark,,,,,,49.0,,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Germany,,,638.0,,656.0,584.0,,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Estonia,,,,,,,,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Ireland,,,,,,,,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Greece,,42.0,10.0,107.0,81.0,7.0,,,68.0,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Spain,77.0,127.0,1125.0,832.0,893.0,978.0,267.0,529.0,529.0,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
France,,,,,,,,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Croatia,,,,,,,,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Italy,5.0,1902.0,1795.0,1199.0,136.0,1153.0,134.0,535.0,313.0,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Cyprus,,,,,,,,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Latvia,,,,,,,,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Lithuania,,,,,,,,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Luxembourg,,,,,,,,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Hungary,,,48.0,51.0,58.0,93.0,,58.0,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Malta,,,,,,,,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Netherlands,,124.0,53.0,85.0,95.0,136.0,71.0,75.0,39.0,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Austria,,66.0,,,,,,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Poland,,,93.0,107.0,58.0,113.0,,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Portugal,,394.0,322.0,249.0,187.0,181.0,,,137.0,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Romania,,7.0,,84.0,161.0,176.0,88.0,66.0,129.0,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Slovenia,,,,,,,,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Slovakia,,,,,,,,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Finland,,,,,,,,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Sweden,,,,,,,,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Iceland,,,,,,,,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Norway,,,,,,,,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Switzerland,,82.0,55.0,4.0,53.0,45.0,52.0,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
United Kingdom,139.0,489.0,299.0,397.0,433.0,567.0,197.0,375.0,15.0,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
Türkiye,,,,,,,,,,Sheet 59,ISCED 0–2,Towns and suburbs,35-49,Male
European_Union_27_countries_from_2020,833.0,5633.0,5185.0,3728.0,4332.0,3921.0,1058.0,1567.0,2005.0,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
European_Union_29_countries_from_2013-2020,1179.0,6294.0,5734.0,414.0,5083.0,4545.0,1258.0,1929.0,2166.0,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Euro_area_19_countries_2015-2022,689.0,5283.0,4849.0,347.0,3877.0,3507.0,977.0,1445.0,1787.0,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Belgium,119.0,129.0,16.0,12.0,217.0,194.0,48.0,54.0,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Bulgaria,,,,,64.0,,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Czechia,,,,,,,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Denmark,,45.0,,,,41.0,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Germany,,,548.0,,595.0,,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Estonia,,,,,,,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Ireland,,,,,,,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Greece,,7.0,117.0,94.0,6.0,56.0,,,59.0,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Spain,122.0,1099.0,976.0,623.0,706.0,706.0,213.0,407.0,502.0,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
France,,,,,,,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Croatia,,,,,,,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Italy,12.0,2316.0,2112.0,1373.0,1376.0,1329.0,274.0,595.0,45.0,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Cyprus,,,,,,,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Latvia,,,,,,,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Lithuania,,,,,,,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Luxembourg,,,,,,,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Hungary,,,58.0,36.0,61.0,56.0,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Malta,,,,,,,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Netherlands,94.0,258.0,164.0,159.0,223.0,17.0,84.0,67.0,67.0,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Austria,,,,,,,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Poland,,,,,73.0,,,,69.0,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Portugal,14.0,594.0,37.0,287.0,198.0,189.0,,,159.0,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Romania,,134.0,,,82.0,127.0,,,115.0,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Slovenia,,,,,,,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Slovakia,,,,,,,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Finland,,61.0,,41.0,,,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Sweden,,,,,,,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Iceland,,,,,,,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Norway,,,,,,,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Switzerland,,125.0,48.0,97.0,63.0,64.0,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
United Kingdom,347.0,661.0,549.0,412.0,751.0,624.0,20.0,362.0,161.0,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
Türkiye,,,,,,,,,,Sheet 60,ISCED 0–2,Towns and suburbs,50-74,Male
European_Union_27_countries_from_2020,1036.0,840.0,9309.0,7757.0,10318.0,10144.0,2486.0,4167.0,2693.0,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
European_Union_29_countries_from_2013-2020,114.0,9798.0,10711.0,8944.0,1172.0,11641.0,3042.0,4948.0,2822.0,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Euro_area_19_countries_2015-2022,695.0,7053.0,7061.0,5232.0,7474.0,7143.0,1884.0,2862.0,1921.0,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Belgium,108.0,254.0,286.0,34.0,442.0,445.0,181.0,214.0,,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Bulgaria,,,131.0,146.0,183.0,154.0,,,,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Czechia,39.0,192.0,374.0,346.0,401.0,408.0,72.0,214.0,,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Denmark,,106.0,7.0,72.0,74.0,13.0,42.0,78.0,,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Germany,,2327.0,2128.0,1486.0,2853.0,2923.0,835.0,1212.0,829.0,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Estonia,,,,,,,,,,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Ireland,,71.0,81.0,,64.0,62.0,,,61.0,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Greece,,119.0,301.0,186.0,161.0,156.0,,,84.0,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Spain,54.0,544.0,462.0,312.0,331.0,354.0,44.0,172.0,20.0,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
France,,908.0,726.0,633.0,894.0,703.0,,,,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Croatia,,95.0,175.0,89.0,116.0,169.0,,,54.0,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Italy,39.0,1687.0,1722.0,117.0,1238.0,1164.0,231.0,419.0,333.0,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Cyprus,,,37.0,,,,,,,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Latvia,,,,,,65.0,,,,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Lithuania,,,,,57.0,,,,,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Luxembourg,,,,,,,,,,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Hungary,92.0,115.0,277.0,202.0,269.0,38.0,114.0,255.0,103.0,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Malta,,,,,,36.0,,,,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Netherlands,81.0,384.0,387.0,262.0,429.0,432.0,121.0,231.0,62.0,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Austria,,282.0,226.0,178.0,251.0,223.0,61.0,59.0,,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Poland,127.0,415.0,653.0,1074.0,963.0,966.0,84.0,37.0,195.0,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Portugal,,184.0,215.0,154.0,166.0,146.0,,,11.0,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Romania,,8.0,232.0,333.0,56.0,544.0,175.0,123.0,324.0,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Slovenia,4.0,42.0,42.0,41.0,46.0,69.0,,,,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Slovakia,,49.0,213.0,209.0,314.0,174.0,48.0,6.0,,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Finland,,139.0,167.0,124.0,129.0,121.0,,4.0,,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Sweden,,334.0,337.0,261.0,279.0,25.0,,,,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Iceland,,,,,,,,,,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Norway,51.0,124.0,94.0,81.0,111.0,77.0,,62.0,,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Switzerland,,244.0,214.0,16.0,437.0,449.0,174.0,166.0,,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
United Kingdom,103.0,1397.0,1402.0,1187.0,1402.0,1497.0,556.0,78.0,128.0,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
Türkiye,,,,,,,,,,Sheet 61,ISCED 3–4,Towns and suburbs,15-34,Male
European_Union_27_countries_from_2020,5625.0,26734.0,29714.0,25923.0,33724.0,33315.0,9447.0,15029.0,9167.0,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
European_Union_29_countries_from_2013-2020,6644.0,29769.0,32889.0,28394.0,37491.0,37099.0,10839.0,17588.0,9699.0,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Euro_area_19_countries_2015-2022,4017.0,21914.0,22089.0,17691.0,23882.0,22692.0,7145.0,10611.0,6184.0,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Belgium,521.0,683.0,729.0,873.0,1159.0,1268.0,512.0,62.0,,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Bulgaria,84.0,88.0,583.0,586.0,781.0,689.0,67.0,11.0,,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Czechia,161.0,695.0,1171.0,1163.0,1548.0,1469.0,267.0,744.0,56.0,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Denmark,125.0,317.0,239.0,273.0,283.0,414.0,169.0,246.0,72.0,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Germany,1465.0,7319.0,7341.0,6013.0,9415.0,9358.0,3359.0,423.0,3078.0,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Estonia,,56.0,69.0,59.0,6.0,63.0,,,,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Ireland,64.0,17.0,161.0,109.0,159.0,161.0,57.0,107.0,146.0,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Greece,,515.0,964.0,61.0,559.0,484.0,67.0,91.0,321.0,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Spain,206.0,180.0,1765.0,1131.0,1401.0,1211.0,326.0,704.0,70.0,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
France,,2492.0,2114.0,1819.0,2672.0,212.0,766.0,1152.0,,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Croatia,102.0,314.0,409.0,259.0,28.0,406.0,,104.0,85.0,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Italy,345.0,5682.0,5538.0,3972.0,4246.0,4326.0,867.0,2199.0,856.0,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Cyprus,,39.0,76.0,64.0,69.0,38.0,,,,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Latvia,,51.0,45.0,56.0,141.0,164.0,62.0,81.0,,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Lithuania,,58.0,77.0,92.0,20.0,108.0,,,,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Luxembourg,,,,,,38.0,,,58.0,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Hungary,372.0,445.0,1034.0,743.0,922.0,1252.0,316.0,753.0,333.0,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Malta,,,,39.0,42.0,62.0,,,,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Netherlands,471.0,978.0,847.0,775.0,1125.0,1194.0,497.0,655.0,204.0,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Austria,101.0,772.0,653.0,518.0,661.0,625.0,251.0,227.0,,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Poland,584.0,1681.0,2492.0,3213.0,3073.0,3337.0,456.0,1352.0,987.0,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Portugal,,478.0,462.0,30.0,334.0,321.0,,113.0,188.0,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Romania,91.0,422.0,817.0,1246.0,2139.0,2092.0,667.0,503.0,123.0,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Slovenia,145.0,172.0,17.0,17.0,172.0,19.0,37.0,54.0,,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Slovakia,89.0,205.0,655.0,74.0,1044.0,642.0,103.0,168.0,65.0,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Finland,,408.0,381.0,338.0,396.0,319.0,92.0,114.0,84.0,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Sweden,,86.0,879.0,75.0,814.0,964.0,326.0,607.0,,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Iceland,,51.0,,,,,,,,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Norway,145.0,397.0,332.0,266.0,299.0,266.0,71.0,193.0,,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Switzerland,116.0,1013.0,72.0,812.0,1083.0,992.0,436.0,513.0,11.0,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
United Kingdom,1018.0,3035.0,3175.0,2471.0,3768.0,3784.0,1392.0,2559.0,533.0,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
Türkiye,,,,,,,,,,Sheet 62,ISCED 3–4,Towns and suburbs,15-74,Male
European_Union_27_countries_from_2020,5211.0,25452.0,28603.0,25181.0,32802.0,32573.0,9295.0,14633.0,8712.0,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
European_Union_29_countries_from_2013-2020,6114.0,28178.0,31387.0,27335.0,36255.0,36109.0,10596.0,17033.0,9197.0,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Euro_area_19_countries_2015-2022,3692.0,20799.0,21342.0,1719.0,23133.0,22125.0,7035.0,10293.0,583.0,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Belgium,501.0,654.0,704.0,857.0,1143.0,1233.0,509.0,613.0,,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Bulgaria,76.0,85.0,56.0,555.0,76.0,666.0,67.0,107.0,,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Czechia,147.0,674.0,113.0,1132.0,1527.0,144.0,265.0,73.0,53.0,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Denmark,108.0,294.0,228.0,245.0,281.0,40.0,163.0,235.0,67.0,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Germany,1313.0,6848.0,7091.0,5813.0,915.0,9092.0,334.0,4064.0,2813.0,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Estonia,,49.0,66.0,55.0,59.0,62.0,,,,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Ireland,62.0,161.0,15.0,106.0,159.0,155.0,56.0,104.0,138.0,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Greece,,508.0,955.0,60.0,554.0,474.0,67.0,89.0,315.0,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Spain,206.0,1711.0,1737.0,1096.0,1331.0,1205.0,326.0,699.0,687.0,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
France,,2373.0,2042.0,1778.0,252.0,2042.0,752.0,1118.0,,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Croatia,96.0,311.0,409.0,259.0,268.0,397.0,,104.0,82.0,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Italy,312.0,5511.0,5372.0,3902.0,4151.0,4226.0,831.0,2132.0,836.0,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Cyprus,,37.0,71.0,62.0,69.0,36.0,,,,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Latvia,,51.0,43.0,54.0,136.0,161.0,62.0,8.0,,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Lithuania,,53.0,73.0,87.0,199.0,106.0,,,,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Luxembourg,,,,,,38.0,,,57.0,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Hungary,356.0,427.0,101.0,721.0,909.0,1242.0,314.0,743.0,318.0,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Malta,,,,38.0,4.0,58.0,,,,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Netherlands,388.0,837.0,73.0,701.0,1038.0,1168.0,47.0,627.0,197.0,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Austria,9.0,755.0,642.0,504.0,649.0,618.0,247.0,223.0,,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Poland,577.0,163.0,2382.0,3118.0,3016.0,329.0,436.0,1327.0,954.0,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Portugal,,465.0,446.0,296.0,319.0,309.0,,113.0,188.0,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Romania,9.0,383.0,759.0,1212.0,2126.0,2089.0,655.0,503.0,1195.0,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Slovenia,141.0,168.0,169.0,166.0,172.0,188.0,37.0,52.0,,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Slovakia,89.0,20.0,643.0,733.0,1031.0,637.0,10.0,168.0,62.0,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Finland,,384.0,368.0,327.0,385.0,317.0,91.0,114.0,79.0,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Sweden,,849.0,783.0,75.0,782.0,924.0,326.0,592.0,,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Iceland,,44.0,,,,,,,,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Norway,132.0,361.0,311.0,249.0,284.0,257.0,71.0,183.0,,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Switzerland,87.0,921.0,69.0,781.0,1062.0,951.0,436.0,463.0,106.0,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
United Kingdom,903.0,2726.0,2784.0,2154.0,3454.0,3537.0,1301.0,240.0,485.0,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
Türkiye,,,,,,,,,,Sheet 63,ISCED 3–4,Towns and suburbs,20-64,Male
European_Union_27_countries_from_2020,1893.0,9436.0,10623.0,9986.0,12474.0,12096.0,3695.0,5794.0,3264.0,Sheet 64,ISCED 3–4,Towns and suburbs,35-49,Male
European_Union_29_countries_from_2013-2020,2257.0,10144.0,11462.0,10583.0,13743.0,13239.0,4137.0,6724.0,3467.0,Sheet 64,ISCED 3–4,Towns and suburbs,35-49,Male
Euro_area_19_countries_2015-2022,1215.0,7721.0,7786.0,6899.0,8623.0,7938.0,2729.0,3955.0,200.0,Sheet 64,ISCED 3–4,Towns and suburbs,35-49,Male
Belgium,221.0,25.0,244.0,294.0,407.0,455.0,179.0,232.0,,Sheet 64,ISCED 3–4,Towns and suburbs,35-49,Male
Bulgaria,,53.0,245.0,256.0,309.0,274.0,,,,Sheet 64,ISCED 3–4,Towns and suburbs,35-49,Male
Czechia,68.0,304.0,428.0,476.0,68.0,63.0,133.0,356.0,,Sheet 64,ISCED 3–4,Towns and suburbs,35-49,Male
